124.8750 43.1250
125.0390 43.2148
125.2031 43.2265
125.2734 43.1406
125.3828 43.0937
125.4101 43.1406
125.3593 43.1484
125.3710 43.2070
125.4296 43.2265
125.4843 43.1718
125.4882 43.0937
125.5820 43.0664
125.6523 43.0625
125.7343 42.9960
125.7656 42.9218
125.7382 42.8515
125.8437 42.7578
125.6484 42.7304
125.6835 42.5976
125.7148 42.6015
125.6601 42.5351
125.6445 42.5468
125.5859 42.5039
125.5623 42.4296
125.4375 42.3750
125.3984 42.3828
125.3398 42.3593
125.3320 42.3320
125.2500 42.3085
125.1679 42.3046
125.1718 42.3398
125.2070 42.3593
125.1757 42.4257
125.0781 42.5039
125.0859 42.6132
125.0234 42.6093
124.9648 42.7109
124.9921 42.7460
124.9765 42.7968
124.9179 42.8125
124.9023 42.7812
124.8632 42.7812
124.8437 42.8828
124.8710 42.9492
124.8437 43.0234
124.8828 43.0703
